customer_id,用户标签
1008905,一般挽留客户
100628,一般挽留客户
1004742,一般挽留客户
1006870,一般挽留客户
100357,重要保持客户
1005734,一般挽留客户
1007341,一般挽留客户
1002793,一般挽留客户
1000112,一般挽留客户
10008,一般挽留客户
1002796,一般挽留客户
1003664,一般挽留客户
1004570,一般挽留客户
1004608,一般挽留客户
1001873,一般挽留客户
1001934,一般挽留客户
1006312,一般挽留客户
1001596,一般挽留客户
1003063,一般挽留客户
1003293,一般挽留客户
1003581,一般挽留客户
1003871,重要保持客户
1000572,重要保持客户
1004240,一般挽留客户
1004677,一般挽留客户
1006590,一般挽留客户
1006593,一般挽留客户
1007999,一般挽留客户
1002254,一般挽留客户
1004140,一般挽留客户
1004403,重要保持客户
1005837,一般挽留客户
1000107,重要保持客户
1000490,重要保持客户
1000625,一般挽留客户
1000937,重要保持客户
1001299,重要保持客户
1001334,一般挽留客户
1001448,一般挽留客户
1001985,一般挽留客户
1002273,一般挽留客户
1002494,重要保持客户
1002573,一般挽留客户
1002844,一般挽留客户
1003321,一般挽留客户
1003799,一般挽留客户
1004002,一般挽留客户
1004490,一般挽留客户
100469,重要保持客户
1004906,一般挽留客户
1004936,一般挽留客户
1005105,重要保持客户
1005832,重要保持客户
100595,重要保持客户
1006538,一般挽留客户
1006704,重要保持客户
1006889,重要保持客户
1006894,一般挽留客户
1007421,一般挽留客户
1007596,重要保持客户
1000154,重要保持客户
1000667,一般挽留客户
1001841,重要保持客户
10021,重要保持客户
1002672,重要保持客户
1004835,一般挽留客户
10057,重要保持客户
1005931,一般挽留客户
1006925,重要保持客户
1007906,一般挽留客户
1004680,一般挽留客户
1006110,重要保持客户
1007255,重要保持客户
1001601,一般挽留客户
1004057,一般挽留客户
1005774,一般挽留客户
1000872,重要保持客户
1000922,一般挽留客户
1003311,一般挽留客户
1005524,重要保持客户
1006779,一般挽留客户
1006954,重要保持客户
1007076,一般挽留客户
1001080,一般挽留客户
1005649,重要保持客户
1005711,重要保持客户
1006947,一般挽留客户
1007027,一般挽留客户
1000282,一般挽留客户
1004019,一般挽留客户
1004270,重要保持客户
1004358,一般挽留客户
1005430,一般挽留客户
1005571,重要保持客户
1005616,重要保持客户
1007289,重要保持客户
1000106,一般挽留客户
1000326,重要保持客户
1001460,重要保持客户
1001626,重要保持客户
1002388,重要保持客户
1003259,一般挽留客户
1003586,重要保持客户
1003851,重要保持客户
1003890,重要保持客户
1004087,一般挽留客户
1004134,一般挽留客户
1004377,重要保持客户
1004569,一般挽留客户
1004651,重要保持客户
1004879,一般挽留客户
1004964,重要保持客户
1005473,一般挽留客户
1005638,一般挽留客户
1005725,重要保持客户
1005877,一般挽留客户
100593,重要保持客户
1006395,一般挽留客户
1007057,重要保持客户
1007568,一般挽留客户
1007606,一般挽留客户
100781,重要保持客户
1007983,一般挽留客户
100856,一般挽留客户
1008786,一般挽留客户
100010,重要保持客户
1000218,一般挽留客户
1000331,一般挽留客户
1000565,一般挽留客户
1000696,一般挽留客户
1000722,一般挽留客户
1001438,重要保持客户
1001472,一般挽留客户
1001489,一般挽留客户
1001572,重要保持客户
1001737,一般挽留客户
1001823,一般挽留客户
1002431,一般挽留客户
1002760,一般挽留客户
1003332,重要保持客户
1003713,一般挽留客户
1004516,重要保持客户
1004562,一般挽留客户
1004603,重要保持客户
1004745,一般挽留客户
1005022,重要保持客户
1005294,一般挽留客户
